# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_4014;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\n[Root.Society.GetNameCap] has received your graciously donated gift. You have our thanks, in addition to those whose lives will be greatly approved by your charity.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nNous, [Root.Get_le_Society][Root.Society.GetName], avons reçu votre généreux don. Soyez-en remercié[Root.GetNoneE], par nous et par ceux dont la vie sera grandement améliorée par votre bienfaisance.\n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\nder "[Root.Society.GetNameCap]"-Zirkel hat Euer großzügig gespendetes Geschenk erhalten. Wir danken Euch im Namen all jener, deren Leben durch Eure Nächstenliebe verbessert werden.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\n[Root.Society.GetNameCap] ha(n) recibido tu generoso donativo. Tanto los miembros de la orden como aquellos cuyas vidas mejorarán enormemente con tu ayuda te agradecemos el gesto.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTOPT_SUFI_4014;I only did my duty, [From.GetSocietyRank].;Je n'ai fait que mon devoir, [From.GetSocietyRank].;Ich tat nur meine Pflicht, [From.GetSocietyRank].;;Solo cumplo con mi deber, [From.GetSocietyRank].;;;;;;;;;x
EVTDESC_SUFI_4018;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nWe are happy to hear that you have devoted your time to matters of theology. May the coming years of devoted study bless you with new insights.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nNous sommes heureux d'apprendre que vous consacrez votre temps aux questions de théologie. Que les années d'études à venir vous bénissent avec de nouvelles idées.\n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\nwir freuen uns zu hören, dass Ihr Eure Zeit der Theologie gewidmet habt. Mögen die kommenden Jahre des hingebungsvollen Studiums Euch mit neuen Erkenntnissen segnen.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\nNos congratula saber que estás dedicando tu tiempo a asuntos teológicos. Deseamos que los años que has consagrado al estudio de la religión te proporcionen una nueva perspectiva.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTOPT_SUFI_4018;[Root.Religion.GetScriptureName] shall be my foremost companion.;Je garde toujours [Root.Get_le_Scripture][Root.Religion.GetScriptureName] près de moi.;[Root.Religion.GetScriptureName] wird mein wichtigster Begleiter sein.;;Las sagradas escrituras me acompañarán toda la vida.;;;;;;;;;x
# EVTOPTA_10001;It is my privilege.;C'est un honneur.;Es ist mir ein Privileg.;;Será un honor.;;;;;;;;;x
EVTDESC_SUFI_4202;[From.GetSocietyRank] [From.GetFirstName] has contacted me, asking if I have any interest in learning more about roses. Apparently [From.GetHerHis] latest achievement involves a dark red variant, mixed with a particular type of yellow wild rose.;[From.GetSocietyRank] [From.GetFirstName] m'a contacté pour me demander si cela m'intéresserait d'en apprendre davantage sur les roses. Apparemment, sa dernière réalisation implique une variante rouge foncé, croisée avec un type particulier de rose sauvage jaune.;[From.GetSocietyRank] [From.GetFirstName] hat sich an mich gewandt und gefragt, ob ich Interesse daran habe, mehr über Rosen zu erfahren. Bei [From.GetHerHis]em letzten Erfolg geht es offenbar um eine dunkelrote Variante, die mit einer bestimmten Art einer gelben Wildrose gekreuzt wurde.;;El/La [From.GetSocietyRank] [From.GetFirstName] se ha puesto en contacto conmigo para preguntarme si me interesaba aprender más cosas sobre las rosas. Al parecer, su último logro consiste en una variedad rojo oscuro, mezclada con un tipo especial de rosa salvaje amarilla.;;;;;;;;;x
# EVTOPTA_SUFI_4202_CHRISTIAN;Fascinating! I shall visit the monastery where this feat has been accomplished.;Fascinant ! Je vais visiter le monastère où cet exploit a été accompli.;Faszinierend! Ich werde das Kloster besuchen, in dem dies zuwege gebracht wurde.;;¡Es fascinante! Debo visitar el monasterio donde se ha logrado esta obra.;;;;;;;;;x
# EVTOPTA_SUFI_4202_DHARMIC;Fascinating! I shall visit the matha where this feat has been accomplished.;Fascinant ! Je vais visiter le matha où cet exploit a été accompli.;Faszinierend! Ich werde das Matha besuchen, in dem dies zuwege gebracht wurde.;;¡Es fascinante! Debo visitar el matha donde se ha logrado esta obra.;;;;;;;;;x
EVTOPTA_SUFI_4202_TT;You will visit the garden where §Y[From.GetTitledName]§! has conducted [From.GetHerHis] botany.\n;Vous allez visiter le jardin où [From.Get_le_Title]§Y[From.GetTitledName]§! s'occupe de la botanique.\n;Ihr werdet den Garten besuchen, in dem §Y[From.GetTitledName]§! die botanischen Versuche durchgeführt hat.\n;;Visitarás el jardín en el que §Y[From.GetTitledName]§! ha llevado a cabo su obra botánica.\n;;;;;;;;;x
EVTOPTB_SUFI_4202;Oh, I simply must have some!;Oh, il m'en faut aussi !;Oh, ich muss unbedingt welche haben!;;¡Debo hacerme con algunas!;;;;;;;;;x
EVTOPTB_SUFI_4202_TT;You will send someone to collect some of these roses.\n;Vous allez envoyer quelqu'un pour récolter certaines de ces roses.\n;Ihr werdet jemanden entsenden, um ein paar dieser Rosen zu holen.\n;;Enviarás a alguien a recolectar algunas de estas rosas.\n;;;;;;;;;x
EVTOPTC_SUFI_4202;As a matter of fact, I have been working on something similar!;En fait, j'ai travaillé sur quelque chose de semblable !;Ich habe tatsächlich selbst an etwas Ähnlichem gearbeitet!;;¡De hecho, he estado trabajando en algo parecido!;;;;;;;;;x
EVTOPTC_SUFI_4202_TT;You will send some of your own samples to §Y[From.GetTitledName]§!.\n;Vous envoyez vos propres échantillons [From.Get_au_Title]§Y[From.GetTitledName]§!.\n;Ihr werdet §Y[From.GetTitledName]§! einige Eurer eigenen Exemplare schicken.\n;;Enviarás algunos de tus ejemplares a §Y[From.GetTitledName]§!.\n;;;;;;;;;x
EVTOPTD_SUFI_4202;This seems like a waste of my time.;Cela semble être une perte de temps.;Das scheint eine komplette Verschwendung meiner Zeit zu sein.;;Esto parece una pérdida de tiempo.;;;;;;;;;x
# EVTDESC_SUFI_4204;Escorted through the gardens of the monastery, I immediately spot the work of [From.GetSisterBrother] [From.GetFirstName]. The roses are a delicate mixture of red and yellow, a hue of sunset at their center. "They're beautiful", my escort nods, offering me a small spade. "They're a little cramped over there though, would you mind helping out?";Escorté[Root.GetNoneE] à travers les jardins du monastère, je repère immédiatement le travail de [From.GetSisterBrother] [From.GetFirstName]. Les roses sont un délicat mélange de rouge et de jaune, une teinte de coucher de soleil au centre. « Elles sont belles », mon escorte hoche la tête, me tendant une petite pelle. « Elles sont un peu à l'étroit là-bas. Cela vous dérangerait-il de donner un coup de main ? »;Als ich durch die Gärten des Klosters geführt werde, sehe ich sofort die Arbeit von [From.GetSisterBrother] [From.GetFirstName]. Die Rosen stellen eine zarte Mischung aus Rot und Gelb dar und haben in der Mitte einen Farbton wie bei einem Sonnenuntergang. "Sie sind schön", nickt mir mein Führer zu und bietet mir einen kleinen Spaten an. "Da drüben stehen sie allerdings ein bisschen zu dicht beieinander. Würde es Euch etwas ausmachen, ein wenig behilflich zu sein?";;"Mientras me escoltan por los jardines del monasterio, en seguida veo la obra del/de la [From.GetSisterBrother] [From.GetFirstName]. Las rosas son de una delicada mezcla de rojo y amarillo, con la tonalidad del crepúsculo en el centro. "Son hermosas", digo. Mi acompañante asiente y me ofrece una pequeña pala. "Sin embargo, están un poco apretadas. ¿Te importaría echarme una mano?".";;;;;;;;;x
EVTOPTA_SUFI_4204;I would love to! There is something... grounding, to gardening.;J'adorerais ! Il y a quelque chose de terre-à-terre dans le jardinage.;Von Herzen gerne! Gartenarbeit hat etwas so ... Erdverbundenes an sich.;;¡Me encantaría! La jardinería te reconecta con lo esencial.;;;;;;;;;x
EVTOPTA_SUFI_4204_TT;The [Root.GetSocietyRank] smiles.\n;[Root.Get_Le_SocietyRank][Root.GetSocietyRank] sourit.\n;Der/die [Root.GetSocietyRank] lächelt.\n;;El/La [Root.GetSocietyRank] sonríe.\n;;;;;;;;;x
EVTOPTB_SUFI_4204;Oh, I can do that. I think.;Oh, je peux le faire, je crois.;Oh, das kann ich machen. Das glaube ich jedenfalls.;;Ah, creo que podría hacerlo.;;;;;;;;;x
EVTOPTB_SUFI_4204_TT;You embrace this new interest.\n;Vous embrassez ce nouveau passe-temps.\n;Ihr widmet Euch gerne diesem neuen Interesse.\n;;Abrazas este nuevo interés con ahínco.\n;;;;;;;;;x
EVTOPTC_SUFI_4204;Thank you, but no thanks. These are marvelous though!;Non merci. Celles-ci sont magnifiques cependant !;Danke, aber ich muss leider ablehnen. Sie sind jedoch wirklich wunderschön!;;Gracias, pero no. Eso sí, ¡son preciosas!;;;;;;;;;x
EVTOPTC_SUFI_4204_TT;The [Root.GetSocietyRank] nods at you in agreement – §Y[From.GetTitledName]§! will receive a letter with your compliments.\n;[Root.GetSocietyRank] acquiesce – [From.Get_le_Title]§Y[From.GetTitledName]§! recevra une lettre avec vos compliments.\n;Der/die [Root.GetSocietyRank] nickt Euch beifällig zu. §Y[From.GetTitledName]§! wird einen lobenden Brief von Euch erhalten.\n;;El/La [Root.GetSocietyRank] está de acuerdo y asiente. §Y[From.GetTitledName]§! recibirá una carta con tus elogios.\n;;;;;;;;;x
EVTDESC_SUFI_4205;The roses that I had sent for have now been planted in my own gardens, their beauty spreading joy to anybody who passes by them. What a true marvel of [Root.Religion.GetHighGodName]!;Les roses que j'avais envoyées ont maintenant été plantées dans mes propres jardins, leur beauté répandant la joie à quiconque passe près d'elles. Quelle merveille [Root.Get_du_HighGod][Root.Religion.GetHighGodName] !;Die Rosen, die ich holen ließ, wurden jetzt in meinen eigenen Gärten angepflanzt, und ihre Schönheit begeistert jeden, der an ihnen vorbeikommt. Was für ein wahres Wunderwerk von [Root.Religion.GetHighGodName]!;;Las rosas que mandé buscar ya están plantadas en mis jardines, y su belleza infunde alegría a todo aquel que pasa por su lado. ¡Es una gran maravilla de [Root.Religion.GetHighGodName]!;;;;;;;;;x
EVTOPTA_SUFI_4205;[This.Society.GetName] be praised!;Louons [This.Get_le_Society][This.Society.GetName] !;Der "[This.Society.GetName]"-Zirkel sei gepriesen!;;¡Alabemos a [This.Society.GetName]!;;;;;;;;;x
EVTOPTA_SUFI_4205_TT;§Y[From.GetTitledName]§! will receive your thanks.\n;[From.Get_Le_Title]§Y[From.GetTitledName]§! recevra vos remerciements.\n;§Y[From.GetTitledName]§! wird Euren Dank erhalten.\n;;§Y[From.GetTitledName]§! recibirá tu agradecimiento.\n;;;;;;;;;x
EVTDESC_SUFI_4206;It seems that [From.GetSisterBrother] [From.GetFirstName] has received the sample from my garden that I sent [From.GetHerHim]. Today a courier presented me with some elaborate coal sketches of the various rose species [From.GetFirstName] has been occupying [From.GetHerselfHimself] with – included are ideas of new ones, provided we continue to work together.;Il semble que [From.GetSisterBrother] [From.GetFirstName] a reçu l'échantillon de mon jardin que je lui ai envoyé. Aujourd'hui, un messager m'a présenté quelques croquis élaborés des différentes espèces de rose dont [From.GetFirstName] s'est occupées – et des idées de nouvelles, sous réserve que nous continuions à travailler ensemble.;Wie es scheint, hat [From.GetSisterBrother] [From.GetFirstName] das Exemplar aus meinem Garten erhalten, das ich [From.GetFirstName] geschickt habe. Heute brachte mir ein Bote ein paar sorgfältig ausgeführte Kohleskizzen der verschiedenen Rosenarten, mit denen sich [From.GetFirstName] beschäftigt hat. Es sind auch einige Ideen für neue Züchtungen dabei, falls wir auch weiterhin zusammenarbeiten sollten.;;"Parece que el/la [From.GetSisterBrother] [From.GetFirstName] ha recibido la muestra de mi jardín que le envié. Hoy, un mensajero me ha entregado unos elaborados bocetos en carbón de varias especies de rosas con las que [From.GetFirstName] ha estado trabajando incluían ideas de algunas variedades nuevas, en caso de que sigamos colaborando.";;;;;;;;;x
EVTOPTA_SUFI_4206;I am happy to help!;Je suis heureu[Root.GetXSe] d'aider !;Ich helfe gerne!;;¡Me encanta ser de ayuda!;;;;;;;;;x
EVTOPTA_SUFI_4206_TT;You do [Root.Religion.GetHighGodName]'s work.\n;Vous accomplissez l'oeuvre [Root.Get_du_HighGod][Root.Religion.GetHighGodName].\n;Ihr verrichtet die Arbeit von [Root.Religion.GetHighGodName].\n;;Haces el trabajo de [Root.Religion.GetHighGodName].\n;;;;;;;;;x
EVTDESC_SUFI_4212;While attending prayer one early morning, I notice my [From.GetSisterBrother] [From.GetFirstName] drowsing off in [From.GetHerHis] seat. Meanwhile, our fellow members of [This.Society.GetName] are deep in their contemplation and do not seem to have noticed yet.;Assistant à la prière tôt ce matin, je remarque que [From.GetLeLa] [From.GetSisterBrother] [From.GetFirstName] somnole sur sa chaise. Les autres membres [This.Get_du_Society][This.Society.GetName] sont profondément dans leur contemplation et ne semblent pas l'avoir remarqué.;Eines frühen Morgens beim gemeinsamen Gebet bemerke ich, dass [From.GetSisterBrother] [From.GetFirstName] im Sitz eindöst. Die anderen Mitglieder des "[This.Society.GetName]"-Zirkels sind tief in Meditation versunken und scheinen dies noch nicht bemerkt zu haben.;;Una mañana, durante el rezo, encuentro a mi [From.GetSisterBrother] [From.GetFirstName] dormitando en su asiento. Entretanto, los demás miembros de [This.Society.GetName] no se percatan de ello y siguen con la contemplación.;;;;;;;;;x
EVTOPTA_SUFI_4212;I should wake [From.GetHerHim], before anyone catches on.;Je devrais [From.GetLeLa] réveiller, avant que quelqu'un ne s'en rende compte.;Ich sollte [From.GetFirstName] wecken, bevor es jemand merkt.;;Debería despertarlo/a antes de que los demás se den cuenta.;;;;;;;;;x
EVTOPTB_SUFI_4212;[From.GetSheHeCap] looks like [From.GetSheHe] could use a nap...;[From.GetIlElleCap] a l'air d'avoir besoin de faire la sieste...;[From.GetSheHeCap] sieht aus, als könnte [From.GetSheHe] ein Nickerchen vertragen ...;;Parece que le vendría bien una siesta...;;;;;;;;;x
EVTOPTC_SUFI_4212;I think I heard [From.GetHerHim] request a mustache.;Je crois que je l'ai entendu demander une moustache.;Ich glaube, gehört zu haben, dass [From.GetSheHe] um einen Schnurrbart gebeten hat.;;Creo que acaba de pedir un mostacho.;;;;;;;;;x
EVTDESC_SUFI_4214;I gently prod at [From.GetFirstName], but I get no reaction. Then I shove my elbow into [From.GetHerHis] side, causing [From.GetHerHim] to cough and open [From.GetHerHis] eyes, a flash of anger in them. [From.GetHerHisCap] face turns red as [From.GetSheHe] blinks, the situation dawning on [From.GetHerHim] suddenly. "Thank you", [From.GetSheHe] mumbles, sheepishly.;Je touche doucement du doigt [From.GetFirstName], mais je n'obtiens aucune réaction. Puis je lui donne un coup de coude, [From.GetLeLa] faisant tousser et ouvrir les yeux, une lueur de colère en eux. [From.GetIlElleCap] rougit, réalisant brusquement la situation. « Merci », murmure-t-[From.GetIlElle], timidement.;Ich stoße [From.GetFirstName] sanft an, aber es kommt keine Reaktion. Danach stoße ich meinen Ellbogen in [From.GetHerHis]e Seite, wodurch [From.GetSheHe] hustet und die Augen öffnet, die vor Ärger sprühen. [From.GetHerHisCap] Gesicht läuft rot an und [From.GetSheHe] beginnt, heftig zu blinken, als [From.GetSheHe] sich plötzlich über die Situation klar wird. "Habt Dank", murmelt [From.GetSheHe] verlegen.;;"Le doy un suave empujón a [From.GetFirstName], pero no reacciona. Lo intento con un codazo en el costado, y entonces empieza a toser y abre los ojos, llenos de ira. El rostro se le vuelve colorado mientras sigue parpadeando, hasta que por fin comprende la situación. "Gracias", murmura con timidez.";;;;;;;;;x
EVTOPTA_SUFI_4214;Think nothing of it, friend.;Ce n'est rien, mon ami[From.GetNoneE].;Keine Ursache, mein Freund.;;No hay de qué, camarada.;;;;;;;;;x
EVTOPTB_SUFI_4214;It seems I saved you from some real embarrassment there...;Il semble que je vous ai évité un embarras certain...;Wie es scheint, habe ich Euch vor einer peinlichen Demütigung bewahrt ...;;Parece que te he ahorrado un gran bochorno...;;;;;;;;;x
EVTDESC_SUFI_4215;As [From.GetFirstName] continues [From.GetHerHis] nap, it does not take long before [From.GetSheHe] starts to snore. I discretely edge away from [From.GetHerHim], and when [From.GetSheHe] finally wakes up, it is to the faces of disapproval from [From.GetHerHis] companions. How awkward for [From.GetHerHim].;Alors que [From.GetFirstName] continue sa sieste, il ne faut pas longtemps avant qu'[From.GetIlElle] commence à ronfler. Je m'éloigne discrètement d[From.GetEluiElle], et quand [From.GetIlElle] se réveille enfin, c'est devant les regards de désapprobation de ses compagnons. Que c'est gênant pour [From.GetLuiElle].;Als [From.GetFirstName] das Nickerchen fortsetzt, dauert es nicht lange, bis [From.GetSheHe] zu schnarchen beginnt. Ich rücke unauffällig von [From.GetFirstName] weg, und als [From.GetSheHe] endlich erwacht, sieht [From.GetSheHe] sich den missbilligenden Blicken [From.GetHerHis]er Kameraden ausgesetzt. Wie peinlich für [From.GetFirstName].;;[From.GetFirstName] prosigue con su siesta, y al cabo de poco empieza a roncar. Me alejo discretamente de su lado, y cuando por fin despierta, se encuentra con los rostros de desaprobación de los demás miembros. Debe der ser un momento muy incómodo.;;;;;;;;;x
